training,validation
2.5958431429711357,2.055755262006467
2.2435118911744185,1.9682946360536335
2.0943936847037037,1.8566445199688717
2.1337982485936253,1.9553314700269389
2.0426092954432318,1.8164046032221117
1.9480606568998577,1.7658741553314847
1.903062378469362,1.7384676467371263
1.9153755996710622,1.767210639422112
1.8758851119952369,1.7477694304506846
1.8890131037622229,1.671925948228797
1.795774377548704,1.8112321832236074
1.736958393275775,1.628128357376191
1.7455114005606647,2.0214162269962364
1.7148846138408458,1.5841965140446745
1.719013305635171,1.6453628479988154
1.660849562136497,1.632151588517652
1.6254691623363944,1.5743977495209693
1.6465768528738896,1.5225138073838744
1.6043611787872472,1.5285592145695204
1.583359497998382,1.5616278487097834
1.584450578159531,1.5205022768289223
1.553888151050244,1.541024922350696
1.5491421795666611,1.5054099697239718
1.546798989158823,1.5073917302697493
1.5368130821917452,1.6164474854770186
1.5281882804033757,1.4736916788714922
1.505081949270302,1.5451492133364362
1.539360467468582,1.486974007395491
1.5002691612114707,1.479601525409022
1.4843202536405244,1.5541214168254438
1.497888568676822,1.4787584602286918
1.4993101695743618,1.5495811731666118
1.522791645983265,1.4657474876739267
1.4888373621978288,1.5297806025635827
1.4856362301245565,1.5677099357464699
1.5067726727488835,1.4991614878466974
1.5062907391304836,1.4576415500191462
1.4713373421634466,1.453389881944441
1.4499047904338451,1.4915697768799936
1.4356717983315217,1.4681995035243516
1.4475758755745032,1.5635251740240943
1.4436033578161418,1.4616373448842046
1.4332426180819349,1.4800040197586772
1.4183141126055878,1.495837400204403
1.4234920707693788,1.4787246653504718
1.4199632197684469,1.4613428887516073
1.4085849660972676,1.5807036229436895
1.426945813968672,1.4513362340959073
1.4141367915587746,1.458006988899567
1.3958527228079192,1.4681940617423113
1.3920211401587153,1.4447667699204854
1.3930163487894298,1.475815268918111
1.388162688743339,1.4705798113821262
1.3603557001891138,1.50730220912667
1.3765655419329048,1.4564568235167605
1.3589060458331075,1.4745312883750377
1.3723598133360722,1.428720047966937
1.3549845877130555,1.5202796382480068
1.3391113479641623,1.480712074362724
1.3542348608014847,1.5189296759328692
1.3211299163690113,1.5229378470475683
1.3291023728620341,1.5565158410178626
1.3202497098549733,1.4697189526625847
1.2965754931349733,1.494788801831786
1.2970612598548377,1.4981321735925985
1.3114237138305571,1.454644553047418
1.282420399040285,1.5067160610555868
1.2775286253580647,1.5407663420482456
